,NOC,Year,Medal
1164,COL,1972,
1165,COL,1972,
1166,PER,1968,
1167,PER,1972,
1168,CAN,2016,
1169,CAN,2016,
1170,VEN,2008,
1171,COL,2016,
1172,COL,2016,
1173,MEX,1984,Silver
1174,MEX,1984,
1175,GBR,1968,
1176,GBR,1972,
1177,IRI,1976,
1178,BEL,2016,
1179,MAR,1992,
1180,MEX,2016,
1181,PHI,1960,
1182,ESP,2012,
1183,IND,2004,
1184,IND,2008,
1185,IND,2016,
1186,GBR,2012,
1188,GER,2000,
1189,GHA,1964,
1190,GHA,2016,
1191,GHA,1992,Bronze
1192,SUI,1984,Silver
1195,UGA,1984,
1196,MAR,1988,Bronze
1197,MAR,1988,
1198,MAR,1992,Bronze
1199,MAR,1996,
1200,GBR,2000,
1201,GBR,2008,
1202,FRA,1900,
1203,FRA,1924,
1204,NED,1984,
1205,NED,1984,
1211,UGA,2012,
1212,UGA,1996,
1213,UGA,2000,
1214,CAN,2012,
1215,CAN,2016,
1216,EGY,1984,
1217,EGY,1988,
1218,ALG,2012,
1219,TUN,1976,
1220,TUN,2008,
1221,TUN,2012,
1222,SYR,1980,
1223,BEL,1956,
1224,BEL,1956,
1225,BEL,1960,
1226,BEL,1960,
1227,NED,2012,Bronze
1228,NED,2016,Silver
1229,CMR,1988,
1230,CMR,1988,
1231,AUS,1956,
1232,CIV,1964,
1233,UGA,1988,
1234,UGA,1988,
1235,BRA,1988,
1236,BEL,1924,
1237,SWE,1920,Gold
1238,NZL,1976,Gold
1239,USA,1920,Gold
1240,GBR,2004,
1241,GER,1996,
1250,NED,1968,
1251,BEL,1932,
1252,BEL,1932,
1261,SLO,2000,
1262,MEX,1992,
1263,MEX,1996,
1264,CUB,1972,
1265,CUB,1972,
1266,HON,2016,
1267,MEX,1936,
1268,ARG,1960,
1269,ARG,1964,
1270,ARG,1968,
1271,ARG,1968,
1272,ARG,1972,
1273,ARG,1972,
1274,CHI,1936,
1275,CHI,2016,
1276,ARG,2008,Gold
1277,ECU,1984,
1278,MEX,1968,
1279,MEX,1968,
1280,MEX,2008,
1281,MEX,2012,
1282,ESA,2016,
1283,ESA,2016,
1284,ESA,2016,
1285,VEN,2016,
1286,ARG,1952,
1287,ARG,1952,
1288,CUB,2008,Bronze
1289,VEN,1980,
1290,VEN,2008,
1291,ARG,2016,
1292,URU,1948,
1293,URU,1952,Bronze
1294,GHA,1952,
1295,GHA,1952,
1296,ITA,2008,
1297,GHA,1964,
1298,GHA,1968,
1299,GHA,1972,
1300,GHA,1964,
1301,HUN,1936,
1302,HUN,1936,
1303,DEN,1948,
1304,DEN,1948,
1305,DEN,1952,
1306,DEN,1952,
1312,USA,1996,
1313,USA,2000,
1314,USA,2004,
1315,USA,2008,
1316,USA,2012,
1317,VEN,2008,
1318,VEN,2012,
1319,URU,1972,
1320,MEX,1948,
1321,MEX,1996,
1322,ARG,2016,
1323,TKM,2016,
1324,HUN,1924,
1325,POL,1980,Bronze
1328,JPN,1936,
1329,JPN,2012,
1330,JPN,2004,
1331,JPN,2016,
1332,JPN,1992,
1333,JPN,2012,
1335,NZL,1984,
1336,NZL,1984,
1337,TUR,2000,
1338,TUR,2004,
1339,BRA,2004,
1340,FRA,1900,
1341,FRA,1900,
1342,SUD,2008,
1343,ROU,2016,
1344,MRI,2008,
1345,USA,1936,Gold
1346,MEX,1988,
1347,CMR,2012,
1348,SEY,1992,
1349,SEY,1992,
1350,SEY,1992,
1351,TCH,1976,
1352,TCH,1976,Silver
1353,TCH,1980,
1354,GER,1908,
1355,GER,1908,
1356,GER,1912,
1357,GER,1912,
1358,SEY,1992,
1359,GER,2016,
1360,GBR,1992,
1361,GBR,1992,
1362,GBR,1992,
1364,GDR,1972,
1365,GDR,1976,
1367,EGY,1988,
1368,EGY,1988,
1369,EGY,1992,
1370,EGY,1992,
1371,LUX,1912,
1372,LUX,1912,
1373,GER,1936,Bronze
1374,FRA,1912,
1375,FRA,1948,Gold
1376,HUN,1912,
1377,KEN,1984,
1378,KEN,1988,
1379,KEN,1988,
1380,KEN,1992,
1381,KEN,1992,
1382,GER,2004,
1383,SUD,1996,
1384,MTN,1988,
1385,MTN,1988,
1386,POL,1924,
1387,FRG,1988,
1388,POL,1992,Silver
1389,POL,1972,
1390,POL,1976,
1391,POL,1948,
1392,POL,1948,
1393,TCH,1988,
1394,TCH,1992,
1395,TCH,1980,
1396,TCH,1980,
1397,TCH,1980,
1398,MEX,1960,
1399,MEX,1960,
1400,ITA,1948,
1410,GRE,1996,
1411,GRE,1996,
1415,POL,2008,
1416,POL,2012,
1417,GER,1992,
1418,HUN,1952,
1419,HUN,1952,
1420,IRI,1972,
1421,NIG,2012,
1422,BUL,1964,
1423,BUL,1964,
1424,BUL,1964,
1425,BUL,1964,
1426,BUL,1964,
1427,BUL,1964,
1428,BUL,1964,
1429,BUL,1964,
1430,BUL,1968,
1431,BUL,1968,
1432,BUL,1968,
1433,BUL,1968,
1434,BUL,1968,
1435,BUL,1968,
1436,BUL,1968,
1437,BUL,1968,
1438,USA,1972,
1440,GBR,1976,
1441,GBR,1976,
1442,SKN,2012,
1443,SKN,2012,
1444,SKN,2012,
1445,SKN,2016,
1446,SKN,2016,
1447,SKN,2016,
1448,AUS,1992,
1449,USA,1904,
1450,USA,1912,Silver
1451,USA,1912,Bronze
1452,CAN,1952,
1453,GBR,1976,
1455,USA,2012,
1456,USA,2016,
1457,RSA,2000,
1458,USA,1904,
1459,USA,1904,
1460,USA,1904,
1461,USA,1904,
1462,USA,1904,Silver
1463,GBR,1908,
1464,TTO,1976,
1465,TTO,1980,
1466,GBR,1920,
1467,AUS,2000,
1468,AUS,2000,
1469,USA,1912,
1470,USA,1912,
1471,USA,1912,
1472,USA,1912,Gold
1473,USA,1920,
1474,DOM,1984,
1475,USA,1996,
1476,USA,1996,
1477,CAN,1972,
1478,VIN,1988,
1479,AUS,2016,
1480,AUS,2004,
1481,AUS,2008,
1482,AUS,2008,
1483,AUS,2012,
1484,CAN,1936,
1485,CAN,1936,
1486,RUS,2012,
1487,GER,2016,
1488,AUS,1976,
1489,USA,1936,
1490,GBR,1980,Silver
1491,GBR,1984,Silver
1492,GBR,1988,
1493,PUR,1988,
1494,GBR,2012,Gold
1495,GBR,2016,Gold
1496,CUB,1992,
1497,AUS,2016,
1498,AUS,1984,
1499,AUS,1988,
1500,AUS,1988,
1501,AUS,1992,
1502,AUS,1992,
1503,AUS,1996,
1504,AUS,1996,
1505,USA,1908,
1506,USA,1908,
1507,USA,1908,
1508,USA,1908,
1509,USA,1908,
1510,USA,1912,
1511,USA,1912,Gold
1512,USA,1912,Silver
1513,USA,1912,
1514,USA,2016,Bronze
1515,CAN,1928,
1516,CAN,1928,
1517,CAN,1928,
1518,CAN,1960,
1520,FRG,1968,
1521,FRG,1972,
1522,USA,1932,
1523,GBR,1908,
1524,USA,1992,
1525,SWE,1928,
1526,NZL,2004,
1527,NZL,2008,Gold
1528,NZL,2012,Gold
1529,NZL,2016,Silver
1530,NOR,2004,
1531,POL,1952,
1532,GER,2008,
1533,GER,2012,Gold
1534,GER,1936,Gold
1535,POL,1960,Silver
1536,POL,1952,
