,NOC,Year,Medal
243515,ITA,1952,
243516,ITA,1956,
243517,ITA,1960,
243518,ROU,1964,Silver
243519,ROU,1972,
243520,ITA,1976,
243521,CRO,2008,
243522,ITA,1900,Silver
243523,ITA,1900,Gold
243524,ITA,1900,
243525,PER,2008,
243526,FRA,1992,Bronze
243527,BRA,2008,
243528,BRA,2008,
243529,STP,2016,
243530,USA,1904,
243531,USA,1904,
243538,USA,1904,
243539,USA,1904,
243540,USA,1904,
243541,USA,1904,
243542,USA,1904,
243543,USA,1904,
243544,USA,1904,
243545,USA,1904,
243546,USA,1904,
243547,USA,1904,
243548,USA,1904,
243549,AUT,1960,
243550,CAN,2008,
243551,CAN,2012,
243552,FRA,1936,
243553,ARG,1948,
243555,ITA,1964,Silver
243556,ITA,1968,
243557,GRE,1906,Silver
243558,GRE,1920,
243559,GRE,1920,
243560,INA,2012,
243561,INA,2008,Bronze
243562,INA,2012,Silver
243563,INA,2016,
243564,TCH,1992,
243565,TCH,1992,
243566,TCH,1960,
243567,TCH,1960,
243568,TCH,1960,
243569,TCH,1960,
243570,TCH,1960,
243571,TCH,1960,
243572,TCH,1960,
243573,TCH,1960,
243576,USA,1920,Silver
243577,USA,1920,Gold
243578,FRA,2016,
243579,DEN,1960,Silver
243580,DEN,2012,
243581,NED,1928,
243582,DEN,2016,
243583,BEL,1906,
243584,URS,1952,
243585,RUS,2004,
243586,RUS,2008,
243587,BLR,2008,
243588,UZB,2012,
243589,AUT,1988,
243590,GER,1992,
243591,GER,1992,Bronze
243592,GER,1992,
243593,GER,1996,
243594,GER,1996,Bronze
243595,GER,1996,Bronze
243596,GER,2000,
243597,GER,2000,
243598,GER,2000,
243602,AUT,1992,
243603,AUT,1992,
243604,GBR,2012,
243605,GBR,2012,
243606,SRB,2012,
243607,SRB,2012,
243608,SRB,2016,
243609,BLR,2008,
243610,BLR,2016,
243611,AUS,2008,
243619,YUG,1952,Gold
243620,YUG,1952,
243621,POL,2004,
243622,POL,2008,
243623,POL,2012,
243624,POL,2016,
243625,POL,1960,Bronze
243626,POL,1928,
243628,ITA,1988,
243629,ITA,1992,
243630,GBR,1992,
243631,SWE,1920,
243632,SWE,1920,
243633,SWE,1924,
243634,SWE,1924,Bronze
243635,ITA,1924,
243637,SWE,1960,
243638,SWE,1960,
243639,NZL,1992,
243640,NZL,2000,
243641,FRA,1920,
243642,FRA,1920,Silver
243643,FRA,1920,
243644,FRA,1920,Bronze
243645,FRA,1920,
243646,FRA,1920,Silver
243647,ITA,1996,
243648,BRA,1980,
243649,BRA,1988,
243650,ITA,2016,
243651,ITA,2016,
243652,USA,2000,
243653,USA,1984,
243654,NED,2004,
243655,NED,1924,
243656,NED,1988,
243657,NED,1988,
243658,NED,1988,
243659,NED,1900,Bronze
243660,GER,2016,Bronze
243661,CUB,1972,
243662,FRA,2004,
243663,FRA,2008,
243664,FRA,1928,
243665,FRA,1928,
243666,FRA,1928,
243667,FRA,1928,
243668,FRA,1928,
243669,FRA,1928,
243670,ITA,1972,
243671,ITA,1936,
243672,ITA,1936,
243673,ITA,1936,
243674,ITA,1936,
243675,ITA,1936,
243676,ITA,1936,
243677,ITA,1936,
243678,ITA,1936,
243679,ITA,1928,Silver
243680,FRA,2016,
243681,SUI,1920,
243682,SUI,1920,
243683,SUI,1920,
243684,SUI,1924,
243685,SUI,1924,
243686,GER,1932,
243687,GER,1932,
243688,AUT,1912,
243689,AUT,1912,
243690,CAN,1984,
243691,AUS,2000,
243692,AUS,2004,
243693,AUS,2008,
243694,GBR,1992,
243695,NED,1960,
243696,NGR,2016,Bronze
243697,NED,2000,
243698,ALB,1996,
243703,AUT,1936,
243705,GER,1952,
243706,FRA,1996,
243707,FRA,1996,
243708,FRA,1996,
243709,FRA,1996,
243712,URS,1952,
243713,EUN,1992,
243714,URS,1980,
243715,URS,1976,Bronze
243716,ANG,1996,
243717,USA,1972,
243718,ITA,2016,
243719,AUT,1964,
243720,AUT,1964,
243721,AUT,1964,
243722,AUT,1964,
243723,AUT,1968,
243724,AUT,1968,
243725,AUT,1972,
243726,AUT,1972,
243730,URS,1964,Silver
243731,USA,1992,Bronze
243732,BAR,1972,
243733,BAR,1972,
243734,BAR,1976,
243735,BLR,2004,
243736,BLR,2008,
243737,BLR,2012,
243738,BLR,2012,
243739,BLR,2016,
243740,BER,1984,
243741,BER,1988,
243742,BER,1976,
243743,BER,1976,
243744,GBR,2012,Gold
243745,GBR,2012,Gold
243746,GBR,2016,Gold
243747,GBR,2016,Gold
243748,NZL,2012,
243750,RSA,2008,
243751,RSA,2008,
243752,RSA,2008,
243753,RSA,2012,
243754,RSA,2012,
243755,FRG,1972,
243756,FRG,1976,
243757,KEN,1956,
243758,KEN,1956,
243759,KEN,1960,
243760,USA,2004,
243761,USA,2004,Gold
243762,USA,2008,
243763,USA,2012,Bronze
243764,USA,2012,Gold
243766,FRA,1988,
243767,FRA,1992,
243768,FRA,1968,
243769,FRA,1976,
243770,LTU,2008,
243771,FRA,1972,
243772,GRE,2004,
243773,TCH,1956,
243774,TCH,1956,
243775,TCH,1960,
243776,TCH,1960,
243777,TCH,1964,
243779,FRA,1900,Bronze
243780,FRA,1900,
243783,USA,2012,
243784,AUS,1984,
243785,AUS,1984,
243786,USA,1952,
243787,USA,1952,
243788,USA,1960,Gold
243789,USA,1960,Gold
243790,USA,2016,Bronze
243791,TCH,1936,
243792,TCH,1948,
243793,MKD,1996,
243794,YUG,1984,Gold
243795,YUG,1988,Silver
243796,MKD,1996,
243797,SLO,2016,Gold
243798,YUG,1924,
243799,YUG,1924,
243800,USA,1908,
243801,USA,1908,Silver
243802,USA,1908,
243803,USA,1908,
243804,RUS,1912,
243807,LBR,2000,
243808,DEN,1924,
243809,DEN,1924,
243810,DEN,1924,
243814,USA,1956,
243815,USA,1960,
243816,ROU,1996,
243818,GUA,2016,
243819,VEN,1968,
243820,MEX,1984,
243821,VEN,1980,
243822,ESP,2000,
243823,ESP,2004,Silver
243824,ESP,2008,
243825,ESP,2012,
243826,BEL,1920,
243827,BEL,1920,
243828,BEL,1920,
243829,BEL,1920,
243832,USA,1928,
243833,USA,1928,
243834,YUG,1964,Silver
243835,YUG,1968,Gold
243836,GDR,1972,
243837,GER,1992,
243838,GER,1996,
243839,FRG,1972,Gold
243840,FRG,1976,
243841,LTU,1996,
243842,LAT,2000,
243843,SUI,1980,
243844,SUI,1984,
243847,VNM,1956,
243848,VNM,1956,
243849,USA,1932,
243865,VIE,1992,
243866,VIE,1992,
243867,VNM,1960,
243868,VNM,1968,
243869,VIE,1996,
243870,SLO,1992,
243871,CAN,2004,
243872,CAN,2008,
243873,ITA,2012,
243874,ITA,2016,
243875,GDR,1980,
243876,ROU,1976,
243877,ROU,1976,Silver
243878,ROU,1976,
243879,ROU,1976,
243880,ROU,1976,
243881,ROU,1976,
243882,FRG,1972,
243883,FRG,1976,
243884,URS,1960,
243885,URS,1964,
243886,RUS,1996,
243887,RUS,1996,Gold
243888,RUS,1996,
243889,RUS,1996,
243890,RUS,1996,
243891,RUS,1996,
243892,RUS,1996,
243893,RUS,2008,
243894,CAN,2004,
243895,CAN,2004,
243896,CAN,2016,
243897,CUB,1972,
243898,POL,2004,
243899,SUI,1972,
243900,SUI,1972,
243901,BEL,2008,
243902,BEL,2012,
243903,BEL,2016,Silver
243904,POL,1976,
243905,POL,1976,
243906,DEN,1948,
243907,DEN,1948,
243908,GRE,1896,
243911,USA,2004,
243912,USA,2004,Bronze
243913,USA,2008,
243914,USA,2008,
243915,POL,2004,
243916,POL,2008,
243917,POL,1980,
243918,POL,1980,
243925,POL,1980,
243926,POL,2000,
243927,GER,1964,
243928,FRG,1968,
243929,USA,2016,
243930,BEL,1936,
243936,LES,1996,
243937,GEO,1996,
243938,ALG,2008,
243939,MGL,1964,
243940,MGL,1964,
243941,MGL,1964,
243942,MGL,1964,
243943,MGL,1964,
243944,MGL,1968,
243945,MGL,1968,
243946,MGL,1968,
243947,MGL,1968,
243948,MGL,1968,
243949,BUL,2000,Silver
243950,URS,1980,Silver
243951,GRE,2008,
243952,GRE,2004,
243953,GRE,2008,
243954,TPE,1956,
243955,TPE,2004,
243956,TPE,2016,
243957,TPE,1996,
243958,AUS,2016,
243959,TPE,2004,
243960,TPE,1988,
243961,TPE,1988,
243962,TPE,1988,
243963,TPE,1996,
243964,TPE,2000,
243965,TPE,1984,
243966,TPE,1992,Silver
243967,TPE,2016,
243968,TPE,1984,
243969,TPE,1988,
243970,HKG,2000,
243971,HKG,2000,
243972,HKG,2004,
243973,HKG,2004,
243974,HKG,2008,
243975,HKG,2008,
243976,TPE,1984,
243977,TPE,1984,
243978,TPE,1996,
243979,TPE,1996,
243980,TPE,1996,
243981,TPE,1996,
243982,TPE,1996,
243983,TPE,1996,
243984,TPE,2000,
243985,TPE,2000,
243986,TPE,1984,Bronze
243987,TPE,1988,
243988,CHN,1936,
243989,TPE,2000,
243996,GRE,1956,
243997,GRE,1960,
243998,GRE,1964,
243999,GRE,1964,
244000,GRE,2004,
244016,GRE,2004,
244017,GRE,2004,
244018,GRE,2008,
244019,GRE,2012,
244020,GRE,1906,
244021,GRE,2012,
244022,GRE,2016,
244023,URS,1956,Gold
244025,GRE,1920,
244026,GRE,2004,
244027,BLR,2000,
244028,BLR,2004,
244029,BUL,1960,
244030,CAN,1996,Silver
244031,HKG,1988,
244032,HKG,1988,
244033,HKG,1988,
244034,HKG,1984,
244035,HKG,1984,
244036,HKG,1984,
244037,HKG,1984,
244038,HKG,1988,
244039,HKG,1988,
244040,HKG,1988,
244041,HKG,1988,
244042,GRE,2004,
244043,GRE,1968,
244045,BUL,1972,
244046,BUL,1980,Silver
244047,TPE,2004,
244048,TPE,2008,
244049,URS,1964,
244050,URS,1964,Silver
244051,URS,1964,
244052,URS,1964,
244053,URS,1964,
244054,URS,1964,
244055,URS,1964,
244056,URS,1964,Bronze
244057,LES,1984,
244058,KGZ,2016,
244059,BLR,2008,
244060,BLR,2008,
244061,BLR,2008,
244062,BLR,2008,
244063,BLR,2008,
244064,BLR,2008,
244065,RUS,2012,Bronze
244066,UKR,2016,
244067,UKR,2016,
244068,UKR,2016,
244069,GRE,1988,
244070,GRE,2004,
244071,GRE,2008,
244072,RUS,2008,
244073,RUS,2012,Silver
244074,URS,1976,
244075,URS,1976,
244076,URS,1976,
244077,URS,1980,
244078,URS,1980,
244080,GRE,2004,
244081,GRE,2008,
244082,GRE,2012,
244083,ZIM,2008,
244084,GRE,1906,
244085,GRE,1906,
244086,GRE,2004,
244087,GRE,2004,
244088,GRE,1996,
244089,GRE,1996,
244090,GRE,1996,
244091,GRE,1996,
244092,GRE,1996,
244093,GRE,1996,
244094,TPE,1988,
244095,SUI,1952,
244096,SUI,1952,Silver
244097,SUI,1952,
244098,SUI,1952,
244099,SUI,1952,
244100,SUI,1952,
244101,SUI,1952,
244102,SUI,1952,
244103,BEL,1920,
244104,SUI,1984,
244105,FRG,1968,
244106,FRG,1968,
244108,SUI,1980,
244109,GDR,1968,
244110,GDR,1972,Silver
244116,GDR,1968,
244117,GDR,1968,
244118,GER,2000,
244119,GER,2000,
244120,GER,2000,
244121,GER,2000,
244122,GER,2000,
244123,GER,2000,
244124,GER,2008,
244125,SUI,1928,
244126,SUI,2016,
244127,LIE,2008,
244128,LIE,2012,
244129,SUI,1928,
244130,SUI,1928,
244135,NOR,1920,Silver
244136,SUI,1968,
244137,HKG,1996,
244138,HKG,2012,
244139,HKG,2016,
244140,MGL,1968,
244141,MGL,1972,
244142,MGL,1976,
244143,MGL,1980,
244144,MGL,1980,
244147,MGL,2012,
244148,MGL,2016,
244149,ETH,2016,
244150,ERI,2012,
244151,ETH,2016,
244152,AUS,1996,
244153,BUL,1988,
244154,KAZ,2000,
244155,GRE,2004,
244156,URS,1968,
244157,URS,1972,Gold
244158,MGL,2016,
244159,MGL,2000,
244160,MGL,2004,
244161,MGL,2016,
244162,MGL,1980,Silver
244163,TPE,2000,
244164,TPE,2000,
244165,TPE,1996,
244166,MAS,1964,
244167,MAS,1964,
244168,MAS,1964,
244169,TPE,2012,Bronze
244170,BUL,1988,Bronze
244171,BUL,1992,
244172,BUL,1996,
244173,BUL,2016,
244178,MGL,1988,
244179,MGL,1992,
244180,MGL,1992,
244181,MGL,1992,
244182,MGL,1996,
244183,MGL,1964,
244184,MGL,1988,
244185,MGL,1976,
244186,MGL,1980,
244187,MGL,1972,
244188,MGL,1976,
244189,RHO,1960,
244190,RHO,1960,
244191,GEO,2000,
244192,MGL,2016,
244193,MGL,1996,
244194,MGL,1988,
244195,ZIM,1988,
244196,BOT,1988,
244197,BHU,1988,
244198,BHU,1988,
244199,BHU,1984,
244200,BHU,1992,
244201,BHU,1992,
244202,BHU,1988,
244203,BHU,1988,
244204,BHU,1992,
244205,BHU,1992,
244206,COD,1996,
244207,BHU,1992,
244208,BHU,1992,
244209,GRE,2008,
244210,GRE,2008,
244211,GRE,2012,
244212,GRE,2008,
244213,GRE,2012,Bronze
244214,CGO,1996,
244215,CGO,2000,
244216,LES,2000,
244217,GRE,1988,
244222,GRE,1906,
244223,GRE,1906,
244224,GRE,1908,Silver
244225,GRE,1908,Silver
244226,GRE,1912,Bronze
244227,GRE,1912,Gold
244228,GRE,1896,
244229,GRE,1996,
244230,GRE,2000,
244231,GRE,2004,
244232,BLR,1996,Bronze
244233,BLR,2000,
244234,GRE,2004,
244235,BLR,2004,
244236,BLR,2004,Bronze
244237,BLR,2008,
244238,GRE,2012,
244239,GRE,2016,
244240,URS,1952,Gold
244246,GRE,2016,
244247,GRE,1984,
244254,GRE,1996,
244255,GRE,2000,
244256,GRE,2000,
244257,GRE,2008,
244258,GRE,2000,
244259,GRE,2004,
244260,URS,1952,
244261,GRE,1906,Silver
244262,GEO,2008,
244263,GEO,2012,
244264,URS,1956,
244265,URS,1956,
244266,GEO,2008,Gold
244267,GRE,1906,Gold
244268,RUS,2012,
244269,GRE,1996,
244270,URS,1968,Gold
244271,URS,1972,Gold
244272,BLR,2016,
244273,CYP,2008,
244274,GRE,1906,Silver
244275,GRE,1906,
244276,GRE,1896,Silver
244277,GRE,1988,
244278,ISR,1996,
244279,ISR,2000,
244280,ISR,2004,
244281,BLR,2016,
244283,GEO,2012,Bronze
244284,GRE,1996,
244285,BLR,2016,
244286,BLR,2016,
244287,HKG,1976,
244288,BUL,1980,
244289,MGL,2008,
244290,MGL,2008,
244291,MGL,2016,
244292,MGL,2016,
244293,MGL,2004,
244294,MGL,2008,
244297,HKG,1984,
244298,HKG,1984,
244299,GRE,2012,
244300,RSA,2008,
244301,GRE,1906,
244302,BUL,1960,
244303,BUL,1960,
244304,GRE,2004,
244305,BUL,1964,
244306,FRA,2012,
244307,FRA,2012,Silver
244308,FRA,2016,
244309,FRA,2016,
244310,GRE,1960,
244311,GRE,1988,
244312,BUL,2016,
244313,BUL,1988,Silver
244314,BUL,2000,
244315,BUL,1996,
244316,UKR,2012,
244317,URS,1980,Bronze
244318,GRE,2012,
244319,GRE,2008,
244320,GRE,1968,
244321,GRE,1996,
244322,GRE,2000,
244323,GRE,2004,Gold
244324,GRE,2004,Gold
244325,GRE,2008,
244333,GRE,2008,
244334,UZB,2004,
244340,BRA,2008,
244341,BRA,2008,
244342,BRA,2012,
244343,BRA,2012,
244344,BRA,2016,
244345,BRA,2016,
244346,JPN,2008,
244347,JPN,1936,
244352,JPN,1964,
244353,JPN,1964,Bronze
244355,JPN,1996,
244356,JPN,1996,
244357,JPN,2004,
244358,JPN,2004,
244359,JPN,1988,
244360,JPN,1988,
244361,JPN,1996,
244362,JPN,2000,
244364,JPN,1928,
244365,JPN,1932,
244366,HKG,2012,
244367,TPE,2000,
244368,JPN,1964,
244369,JPN,1964,Bronze
244370,JPN,1964,
244371,JPN,1964,
244372,JPN,1964,
244373,JPN,1964,
244376,JPN,1964,
244377,JPN,1996,
244378,JPN,2000,
244380,JPN,1996,
244381,JPN,1960,
244382,JPN,1960,
244383,JPN,1960,
244384,JPN,1960,
244385,JPN,1960,
244386,JPN,1960,
244387,JPN,2004,Gold
244388,JPN,2008,Silver
244389,JPN,2016,
244390,JPN,1968,
244391,JPN,1968,Gold
244392,JPN,1968,
244393,JPN,1968,
244394,JPN,1968,
244395,JPN,1968,
244396,JPN,1968,
244397,JPN,1968,
244398,JPN,1972,
244399,JPN,1972,Gold
244400,JPN,1972,
244401,JPN,1972,
244402,JPN,1972,
244403,JPN,1972,Gold
244404,JPN,1972,Bronze
244405,JPN,1972,
244406,JPN,1976,Bronze
244407,JPN,1976,Gold
244408,JPN,1976,
244409,JPN,1976,Silver
244410,JPN,1976,Bronze
244411,JPN,1976,Gold
244412,JPN,1976,
244413,JPN,1976,
244414,JPN,2008,
244415,JPN,2008,Silver
244416,JPN,1996,
244417,JPN,1996,
244418,JPN,1996,
244419,JPN,1996,
244420,JPN,1996,
244421,JPN,1996,
244422,JPN,1996,
244423,JPN,1996,
244424,JPN,2000,
244425,JPN,2000,
244426,JPN,2000,
244427,JPN,2000,
244428,JPN,2000,
244429,JPN,2000,
244430,JPN,2000,
244431,JPN,2000,
244432,JPN,2004,
244433,JPN,2004,Gold
244434,JPN,2004,
244435,JPN,2004,
244436,JPN,2004,
244437,JPN,2004,
244438,JPN,2004,
244439,JPN,2000,
244440,JPN,1964,
244441,CAN,1972,
244442,CAN,1972,
244443,CAN,1972,
244444,CAN,1972,
244445,CAN,1972,
244446,CAN,1972,
244447,JPN,1956,
244448,JPN,1956,Silver
244449,JPN,1956,
244450,JPN,1956,
244451,JPN,1956,
244452,JPN,1956,
244453,JPN,1956,
244454,JPN,1956,
244459,JPN,1988,
244464,JPN,2008,
244465,JPN,2008,
244466,JPN,2008,
244467,ZIM,2016,
244468,JPN,1984,
244469,JPN,1988,
244470,JPN,1988,
244471,JPN,1964,
244477,RUS,2008,
244478,URS,1968,
244479,URS,1972,
244480,URS,1976,
244481,BLR,2012,
244482,BLR,2016,
244483,BLR,2016,
244484,KAZ,2004,Silver
244486,JPN,2008,
244487,JPN,2008,
244488,JPN,2008,
244489,JPN,2008,
244490,JPN,2008,
244491,JPN,2012,
244492,JPN,2012,
244493,JPN,1960,
244494,JPN,1960,Gold
244495,JPN,1960,
244496,JPN,1960,
244497,JPN,1960,
244498,JPN,1960,
244499,JPN,1960,
244500,JPN,1960,Bronze
244501,JPN,1964,Silver
244502,JPN,1964,Gold
244503,JPN,1964,
244504,JPN,1964,
244505,JPN,1964,Silver
244506,JPN,1964,
244507,JPN,1964,
244508,JPN,1964,Silver
244509,JPN,1964,
244510,JPN,1968,
244511,JPN,1968,
244513,JPN,1936,
244514,JPN,1972,
244515,JPN,1928,Gold
244516,JPN,1932,Gold
244517,JPN,1928,
244520,JPN,1956,
244521,JPN,1956,
244522,JPN,1960,
244523,JPN,1960,
244524,JPN,1964,
244525,URS,1960,Silver
244526,URS,1964,
244527,UZB,2000,
244529,BUL,1924,
244530,BUL,2008,
244533,BUL,1988,
244534,BUL,1972,
244535,BUL,1972,
244536,BUL,1960,
244537,BUL,1976,
244538,BUL,1972,
244539,BUL,1972,
244540,BUL,1972,
244541,BUL,1972,
244542,BUL,1972,
244543,BUL,1972,
244544,UZB,1996,
244545,UZB,1996,
244546,UZB,1996,
244547,UZB,2000,
244548,UZB,2000,
244549,RUS,1996,
244556,URS,1952,
244557,URS,1956,Bronze
244558,URS,1960,Gold
244559,RUS,1996,Bronze
244560,BLR,1996,
244561,BLR,2000,
244562,BLR,2004,
244568,RUS,2000,
244569,UKR,2000,Silver
244570,UKR,2004,Bronze
244571,UKR,2016,
244572,URS,1968,
244573,RUS,1996,
244576,RUS,1996,
244577,RUS,1996,
244578,RUS,2000,
244579,RUS,2000,
244580,RUS,2004,
244581,RUS,2008,
244582,RUS,2008,
244583,URS,1980,
244584,URS,1988,
244585,URS,1964,
244586,URS,1964,
244587,TPE,2004,
244588,TPE,1984,
244589,SUI,1996,
244590,CHN,1984,
244591,TPE,1996,
244592,TPE,1996,
244593,PRK,1996,
244594,PRK,1996,
244595,TPE,2012,
244596,TPE,1984,
244597,TPE,1988,
244598,TPE,1988,
244599,TPE,1992,
244600,TPE,1992,
244601,TPE,1996,
244602,TPE,1996,
244603,NZL,1992,Bronze
244604,COK,2012,
244605,ESP,2000,
244606,ESP,2004,
244607,ESP,2008,Silver
244608,ESP,2012,
244611,AUS,1964,
244612,ITA,1920,Gold
244613,ARG,1988,
244615,YUG,1988,
244616,BOH,1908,
244617,BOH,1908,
244618,BOH,1908,Bronze
244619,TCH,1920,
244621,URS,1988,Gold
244622,RUS,2000,Gold
244623,RUS,2004,Bronze
244624,GER,2004,
244626,USA,1920,
244627,USA,1920,Silver
244631,USA,1996,
244632,GBR,1968,
244636,AUS,1980,
244637,AUS,1980,
244638,AUS,1984,
244639,SLE,2004,
244640,GBR,1960,
244641,GBR,1964,
244642,AUS,1976,
244643,AUS,1980,
244644,USA,1992,
244645,BAR,1968,
244646,BAR,1972,
244648,GUY,1996,
244649,GUY,2000,
244650,GUM,1988,
244651,CUB,1996,
244652,CUB,1996,Bronze
244653,CUB,2000,
244654,CUB,2000,
244655,USA,1996,Gold
244656,USA,2000,Silver
244657,USA,2000,
244658,USA,2004,
244659,LBR,2004,
244660,GBR,2008,
244661,GBR,2012,
244662,GBR,2016,
244663,ZIM,1988,
244668,ESP,2016,
244670,MGL,1964,
244671,MGL,1968,
244672,MGL,1968,
244673,MGL,1972,
244674,MGL,1972,
244675,MGL,1976,
244676,HUN,2004,
244677,ROU,1992,
244678,ROU,1996,
244679,ROU,2000,
244680,GBR,1948,
244681,ROU,1952,
244682,ROU,1952,
244683,ROU,1952,
244684,ROU,1992,
244685,CAN,1988,
244686,ROU,1968,
244687,ROU,1972,Bronze
244688,ROU,1976,
244689,ZIM,1988,
244690,ROU,1976,Bronze
244691,ROU,1936,
244692,ROU,1936,
244693,CAN,1984,
244694,CAN,1984,
244695,CAN,1984,
244696,CAN,1984,
244697,CAN,1984,
244698,CAN,1984,
244699,ROU,1972,Bronze
244700,ROU,1976,Silver
244701,CUB,1980,
244704,ETH,2008,
244705,ETH,2016,
244706,ITA,1992,
244707,ITA,1996,
244708,TUR,2000,
244709,TUR,2008,
244710,TUR,2004,
244711,TUR,2008,
244713,ETH,1980,
244714,ETH,1980,
244715,ETH,1980,
244716,FRA,1896,
244717,FRA,1896,Silver
244718,FRA,1900,
244719,GRE,1906,
244720,GRE,1906,
244721,GHA,1988,
244722,GHA,1988,
244723,GHA,1992,
244724,GHA,1992,
244725,GHA,1992,
244726,GHA,1996,
244727,GHA,1996,
244728,GHA,1996,
244730,CAN,2008,
244731,CAN,2008,
244732,NOR,1996,
244733,NOR,2000,Silver
244734,NOR,2004,Gold
244735,NOR,2008,Gold
244736,NOR,2012,
244737,NOR,2016,Bronze
244738,DEN,1912,Silver
244739,GUM,2016,
244740,RUS,2004,
244741,RUS,2012,
244742,ITA,1924,
244743,ITA,1920,
244744,ROU,1996,
244745,ROU,1996,Bronze
244746,ROU,1996,
244747,ROU,1996,
244748,ROU,1996,
244749,ROU,1996,
244750,DEN,2000,
244751,DEN,2004,Bronze
244752,UKR,2016,
244753,UKR,2008,
244754,TCH,1948,
244755,NZL,2016,Silver
244756,FIJ,1992,
244757,FIJ,2000,
244758,SAM,1992,
244759,SAM,2012,
244760,NED,1972,
244761,FIN,1908,
244762,FIN,1908,
244763,FIN,1912,
244764,FIN,1912,
244765,FIN,1912,
244766,FIJ,1976,
244767,FIJ,1976,
244768,FIJ,1984,
244769,FIJ,1984,
244770,FIJ,2016,Gold
244771,FRA,1972,
244778,TTO,1976,
244779,TTO,1976,
244780,FIJ,2016,
244781,FIN,1988,
244782,BIH,2016,
244783,FIJ,1988,
244784,FIJ,1988,
244785,NZL,2012,Silver
244786,NZL,2016,Gold
244787,RUS,2012,
244788,FIN,1952,
244789,FIN,1936,
244790,FIN,1936,Bronze
244791,FIN,1936,
244792,FIN,1936,
244793,FIN,1936,
244794,FIN,1936,
244795,FIN,1936,
244796,FIN,1936,
244797,MAS,2012,
244798,SLO,1996,
244799,NEP,1984,
244800,UZB,2016,Bronze
244801,MDA,2004,
244802,SYR,1980,
244803,FRA,2012,
244804,HUN,1912,Silver
244805,ROU,1984,
244806,FIN,1928,
244807,FIN,1928,
244808,POL,2004,
244809,JPN,2004,
244810,TTO,1948,
244811,TTO,1948,
244812,PUR,1984,
244813,GER,1956,
244814,GER,1956,Bronze
244815,GBR,2000,
244816,GBR,2004,
244817,GDR,1972,
244818,GDR,1972,
244819,GDR,1972,
244820,ISV,2016,
244821,GBR,1996,
244822,GBR,1960,
244823,CAN,1936,
244824,CAN,1936,
244825,CAN,1936,
244826,CAN,1936,
244827,CAN,1936,
244828,USA,1984,Silver
244829,AUS,1956,
244830,FIJ,2012,
244831,FIJ,2016,
244832,ETH,1992,Gold
244833,ETH,1996,
244834,ETH,2000,Gold
244835,ETH,2004,Bronze
244837,UZB,1996,Bronze
244838,UZB,2000,
244839,AUT,1964,
244840,YUG,1972,
244841,ARG,1976,
244842,TCH,1924,
244843,TCH,1972,
244844,BUL,1980,
244848,PHI,1964,
244849,PHI,1964,
244850,PHI,1968,
244851,YUG,1980,
244852,BER,1992,
244853,BER,2000,
244854,ITA,1960,
244855,MGL,2008,
244856,MGL,2000,
244857,MGL,1988,
244858,MGL,2000,
244859,MGL,1996,
244860,MGL,2000,
244861,BLR,2008,Bronze
244862,BLR,2012,Silver
244863,TUR,1972,
244864,TUR,1972,
244865,FRG,1968,Bronze
244866,FRG,1972,
244867,HUN,1956,Bronze
244868,UGA,2000,
244869,KEN,2012,
244870,KEN,2012,
244871,KEN,2016,Silver
244872,MYA,1956,
244873,MYA,1960,
244874,TUR,1964,
244875,TUR,1968,
244876,TUR,2004,
244877,PNG,1988,
244878,PNG,1988,
244879,PHI,1952,
244880,TUR,2012,
244881,GBR,1952,
244882,TUR,1936,
244883,TUR,1936,
244884,TUR,1948,
244885,TUR,1948,
244886,GER,2008,
244887,TUR,2012,
244888,HUN,1976,Bronze
244889,ETH,2008,
244890,ITA,1912,Gold
244891,HKG,1996,
244892,SGP,1968,
244893,TPE,2004,
244894,TPE,2008,
244895,IND,2016,
244896,UZB,2016,
244897,AUS,1996,
244898,CAN,1996,
244899,CAN,2000,
244900,CAN,2004,
244901,USA,2000,
244902,NED,2000,
244903,NED,2004,
244904,AUT,1948,
244905,GBR,2012,
244906,GBR,2012,
244907,GBR,2012,
244908,GBR,2012,
244909,GBR,2012,
244910,USA,2008,Gold
244911,USA,2012,
244912,BEL,1924,
244913,KAZ,1996,
244914,KAZ,1996,
244915,HUN,1932,Bronze
244916,CHN,2004,
244918,IRL,1948,
244919,IRL,1948,
244920,FIN,1976,
244921,FIN,1980,
244922,FIN,1952,
244923,URS,1988,Bronze
244926,FIN,1920,
244927,FIN,1964,
244928,FIN,1968,
244929,FIN,1936,Silver
244932,FIN,1960,
244936,FIN,1952,
244937,FIN,1952,
244938,FIN,1952,
244939,FIN,1952,
244940,FIN,1952,
244941,FIN,1952,
244942,FIN,1952,
244943,FIN,1960,
244944,FIN,1960,
244945,FIN,1960,
244946,FIN,1960,
244947,FIN,1960,
244948,FIN,1960,
244951,FIN,1952,
244952,FIN,1996,
244953,FIN,1996,
244955,BRA,2004,
244956,BRA,2008,
244957,BUL,1980,
244958,IRI,1988,
244959,FIJ,1984,
244960,FIJ,1984,
244961,FIJ,1984,
244962,FIJ,1984,
244963,CAN,2008,
244964,CAN,2016,
244965,CAN,1968,
244966,ASA,2000,
244967,LAT,1996,
244968,JPN,2016,
244969,ETH,1980,Bronze
244970,SMR,1992,
244971,SMR,1996,
244972,FIJ,2016,
244973,FIN,1952,
244974,FIN,1952,
244975,TUR,2000,
