NOC,Year,Total_Gold,Total_Silver,Total_Bronze
ETH,1992,854.0,1033.0,946.0
ETH,1996,854.0,1033.0,946.0
ETH,2000,854.0,1033.0,946.0
ETH,2004,854.0,1033.0,946.0
ETH,2008,854.0,1033.0,946.0
ETH,2012,854.0,1033.0,946.0
ETH,2016,854.0,1033.0,946.0
EUN,1992,600.0,695.0,682.0
FIJ,2016,927.0,1275.0,1275.0
FIN,1906,453.0,613.0,385.0
FIN,1908,453.0,613.0,385.0
FIN,1912,453.0,613.0,385.0
FIN,1920,453.0,613.0,385.0
FIN,1924,453.0,613.0,385.0
FIN,1928,453.0,613.0,385.0
FIN,1932,453.0,613.0,385.0
FIN,1936,453.0,613.0,385.0
FIN,1948,453.0,613.0,385.0
FIN,1952,453.0,613.0,385.0
FIN,1956,453.0,613.0,385.0
FIN,1960,453.0,613.0,385.0
FIN,1964,453.0,613.0,385.0
FIN,1968,453.0,613.0,385.0
FIN,1972,453.0,613.0,385.0
FIN,1976,453.0,613.0,385.0
FIN,1980,453.0,613.0,385.0
FIN,1984,453.0,613.0,385.0
FIN,1988,453.0,613.0,385.0
FIN,1992,453.0,613.0,385.0
FIN,1996,453.0,613.0,385.0
FIN,2000,453.0,613.0,385.0
FIN,2004,453.0,613.0,385.0
FIN,2008,453.0,613.0,385.0
FIN,2012,453.0,613.0,385.0
FIN,2016,453.0,613.0,385.0
FRA,1896,142.0,95.0,115.0
FRA,1900,142.0,95.0,115.0
FRA,1904,142.0,95.0,115.0
FRA,1906,142.0,95.0,115.0
FRA,1908,142.0,95.0,115.0
FRA,1912,142.0,95.0,115.0
FRA,1920,142.0,95.0,115.0
FRA,1924,142.0,95.0,115.0
FRA,1928,142.0,95.0,115.0
FRA,1932,142.0,95.0,115.0
FRA,1936,142.0,95.0,115.0
FRA,1948,142.0,95.0,115.0
FRA,1952,142.0,95.0,115.0
FRA,1956,142.0,95.0,115.0
FRA,1960,142.0,95.0,115.0
FRA,1964,142.0,95.0,115.0
FRA,1968,142.0,95.0,115.0
FRA,1972,142.0,95.0,115.0
FRA,1976,142.0,95.0,115.0
FRA,1980,142.0,95.0,115.0
FRA,1984,142.0,95.0,115.0
FRA,1988,142.0,95.0,115.0
FRA,1992,142.0,95.0,115.0
FRA,1996,142.0,95.0,115.0
FRA,2000,142.0,95.0,115.0
FRA,2004,142.0,95.0,115.0
FRA,2008,142.0,95.0,115.0
FRA,2012,142.0,95.0,115.0
FRA,2016,142.0,95.0,115.0
FRG,1968,427.0,526.0,409.0
FRG,1972,427.0,526.0,409.0
FRG,1976,427.0,526.0,409.0
FRG,1984,427.0,526.0,409.0
FRG,1988,427.0,526.0,409.0
GAB,2012,1275.0,1249.0,1275.0
GBR,1896,66.0,57.0,77.0
GBR,1900,66.0,57.0,77.0
GBR,1904,66.0,57.0,77.0
GBR,1906,66.0,57.0,77.0
GBR,1908,66.0,57.0,77.0
GBR,1912,66.0,57.0,77.0
GBR,1920,66.0,57.0,77.0
GBR,1924,66.0,57.0,77.0
GBR,1928,66.0,57.0,77.0
GBR,1932,66.0,57.0,77.0
GBR,1936,66.0,57.0,77.0
GBR,1948,66.0,57.0,77.0
GBR,1952,66.0,57.0,77.0
GBR,1956,66.0,57.0,77.0
GBR,1960,66.0,57.0,77.0
GBR,1964,66.0,57.0,77.0
GBR,1968,66.0,57.0,77.0
GBR,1972,66.0,57.0,77.0
GBR,1976,66.0,57.0,77.0
GBR,1980,66.0,57.0,77.0
GBR,1984,66.0,57.0,77.0
GBR,1988,66.0,57.0,77.0
GBR,1992,66.0,57.0,77.0
GBR,1996,66.0,57.0,77.0
GBR,2000,66.0,57.0,77.0
GBR,2004,66.0,57.0,77.0
GBR,2008,66.0,57.0,77.0
GBR,2012,66.0,57.0,77.0
GBR,2016,66.0,57.0,77.0
GDR,1968,228.0,292.0,359.0
GDR,1972,228.0,292.0,359.0
GDR,1976,228.0,292.0,359.0
GDR,1980,228.0,292.0,359.0
GDR,1988,228.0,292.0,359.0
GEO,1996,985.0,1081.0,969.0
GEO,2000,985.0,1081.0,969.0
GEO,2004,985.0,1081.0,969.0
GEO,2008,985.0,1081.0,969.0
GEO,2012,985.0,1081.0,969.0
GEO,2016,985.0,1081.0,969.0
GER,1896,86.0,115.0,48.0
GER,1900,86.0,115.0,48.0
GER,1904,86.0,115.0,48.0
GER,1906,86.0,115.0,48.0
GER,1908,86.0,115.0,48.0
GER,1912,86.0,115.0,48.0
GER,1928,86.0,115.0,48.0
GER,1932,86.0,115.0,48.0
GER,1936,86.0,115.0,48.0
GER,1952,86.0,115.0,48.0
GER,1956,86.0,115.0,48.0
GER,1960,86.0,115.0,48.0
GER,1964,86.0,115.0,48.0
GER,1992,86.0,115.0,48.0
GER,1996,86.0,115.0,48.0
GER,2000,86.0,115.0,48.0
GER,2004,86.0,115.0,48.0
GER,2008,86.0,115.0,48.0
GER,2012,86.0,115.0,48.0
GER,2016,86.0,115.0,48.0
GHA,1960,1275.0,1249.0,946.0
GHA,1964,1275.0,1249.0,946.0
GHA,1972,1275.0,1249.0,946.0
GHA,1992,1275.0,1249.0,946.0
GRE,1896,678.0,634.0,659.0
GRE,1904,678.0,634.0,659.0
GRE,1906,678.0,634.0,659.0
GRE,1908,678.0,634.0,659.0
GRE,1912,678.0,634.0,659.0
GRE,1920,678.0,634.0,659.0
GRE,1924,678.0,634.0,659.0
GRE,1956,678.0,634.0,659.0
GRE,1960,678.0,634.0,659.0
GRE,1968,678.0,634.0,659.0
GRE,1972,678.0,634.0,659.0
GRE,1980,678.0,634.0,659.0
GRE,1984,678.0,634.0,659.0
GRE,1988,678.0,634.0,659.0
GRE,1992,678.0,634.0,659.0
GRE,1996,678.0,634.0,659.0
GRE,2000,678.0,634.0,659.0
GRE,2004,678.0,634.0,659.0
GRE,2008,678.0,634.0,659.0
